rank,address,balance_flc,last_seen_utc
1,fc1q3njyym5nftd8vakpxf0fyl7aese8as3rjc2vr0,8734412.04202603,2025-08-15T10:21:59Z
2,fc1qrucehulkqx00t285r2uxtk5n5v2z6d0aftflzp,8107768.99232634,2025-10-13T02:26:19Z
3,fc1qa0p3ekfur32qnqq8qhulmh7d4yamkl7sq86f2f,4452378.67580108,2025-10-13T00:29:52Z
4,FRmCB7P1Yk5os7AToq4T6mFr7jYrKMgQQ3,3827900.39216211,2025-10-14T20:27:23Z
5,fc1qeclugw6nxgt988cpcfzqq8tuffpm9v2uk4l4ts,3606000.00000000,2025-10-13T02:26:19Z
6,fc1qms8hlwxa64l34jz4spgsq9akqa426ln4jjeyk5,1846940.68979492,2025-10-03T17:54:32Z
7,fc1q3fqddfnakmv40lmjr0uzlwv4zzat7aqxwh4dr2,1812627.46088807,2025-10-13T00:29:52Z
8,fc1qdtgmlu6eqat0u699yccqc288ukcdzm5ejdczmj,1396235.28150960,2025-10-15T09:46:02Z
9,fc1qga59a2f6fsnqlj353sn4emrv6a5yxp8rclkzu2,1365787.97260000,2025-10-07T18:25:58Z
10,fc1qvk3sx7a7wquqr5cqlvx6gt3nhllfquhlul9wc4,1362278.00200000,2025-10-09T07:48:02Z
11,fc1qvgzm6mt6w8787df2d2046ytvn3dw2c4hplguln,1358026.44000000,2025-10-07T19:53:39Z
12,fc1qfdt0rj7tvfzg9k42z9g2n5pdd55x4waz3fslpx,1292290.59029557,2025-10-11T08:02:58Z
13,fc1qmyrgdn32ajdl4scljlrx5zh6ctfdl7vhhewrp2,1291190.89720000,2025-10-09T02:46:10Z
14,fc1qsvnjpw0wlyakuakl7clualra6ydwjqlu03fpaj,1289911.40000000,2025-10-09T07:48:02Z
15,fc1q092jqzlppefw7fsc240um5wyv8ga6828cqexes,1265023.72040000,2025-10-09T02:37:55Z
16,fc1qk2gm69szz4hqfhgkxzkegjd5w9uhwqwjp2502s,1158780.10696820,2025-10-15T09:46:02Z
17,fc1qytmek66n2yxhcvrauk6pt3f2ztnrqu5v30se8q,1134402.02170000,2025-10-09T03:04:52Z
18,fc1qjdh2yvlv9v6rq50s55t9khg4vkhmq9ap988t5e,1123004.30000000,2025-10-09T03:04:52Z
19,fc1qszfn0a47ykcecdz3k087ydnn77fcadjp0n6t95,1093255.22300000,2025-10-09T02:40:10Z
20,fc1q47azeca2cjhfn8ea49t4zlklynlcd6k54gnsan,1038833.44400000,2025-10-09T02:28:40Z
21,fc1qa93r0kd8zfmyzh3dx5s95hwwv0vcu0emzm9v4v,1000000.00000000,2025-10-09T17:48:34Z
22,fc1qc4snuygsf8ursw3cgjmgw50u9s6wdn0f4p63ay,1000000.00000000,2025-10-09T17:48:21Z
23,fc1qdekvjmscgpdeh0l47qjutng5rcvhgrux4nq5z8,1000000.00000000,2025-10-09T17:48:21Z
24,fc1qjpy6ty6sqqslj0cxv7qw3yk3dtfhachuh2uar8,1000000.00000000,2025-10-09T17:51:34Z
25,fc1qjvqgpk0adhdtahwqw2nj38kl7sxxudpd6fr70v,1000000.00000000,2025-10-09T17:39:38Z
26,fc1qvdz6jvwekhz08pjsv3qgtnadx4ds9yu65mp0g7,1000000.00000000,2025-10-09T17:42:04Z
27,fc1qwxjyq3h2dt594t2wtpn7e8xs5xat082srcn05e,1000000.00000000,2025-10-09T17:48:34Z
28,fc1qyw2zy6rja5rlxeqwya6ydh7fk6024kqmp0gq2f,1000000.00000000,2025-10-09T17:42:04Z
29,fc1qzq2ya59tk8zpq82hkslvpaheml42ehd7nls4pj,1000000.00000000,2025-10-09T17:48:21Z
30,fc1qmvry8ffp8ydc37j2nl6l4xh0srh6n7l5fdlfmd,977263.18720000,2025-10-09T02:04:12Z
31,FH2X1UWZL94mMKZ2nLA4aUvT2WFuMSNHdg,976190.00000000,2025-05-23T09:02:13Z
32,FJjDfihsc7ZicArUAmqmZKYBcBwmBXmo1A,947480.00000000,2025-05-23T08:54:20Z
33,FPgeYwYMiWdr2fi3g8NWx1E1NzNgqsUFMq,924690.00000000,2025-05-23T06:07:23Z
34,FSQT1pfRhmj7WBeAosjd8EHHyfZUjo8pWA,916780.00000000,2025-05-23T09:46:04Z
35,fc1qvcdrzgwdqsscan57n7kweepp5pn96ws5kgw03s,916564.94560000,2025-10-07T09:33:51Z
36,fc1qedvqejxpm3qdx7n7z0x7vugr56sxrkzajwvcqz,913205.56280000,2025-10-07T18:35:21Z
37,fc1qjnlehhz864yga689dyhxff43rlrffklk47hyhn,908187.18720000,2025-10-09T02:15:16Z
38,FBL2mBqoKo61swDVpJEhiV3h669cpaDtsh,903890.00000000,2025-05-23T09:50:48Z
39,FCLtQc9okHxb77JRvCfimYUWS7W8KybHiq,900930.00000000,2025-05-23T06:15:59Z
40,FLqDhbfXor35DR2ZqknTHRTgSHC4kZRfrJ,898960.00000000,2025-05-23T09:22:46Z
41,fc1qytx85alxylgsdque30sxfk5ke39uyc2vhrrwuh,893220.03400000,2025-10-09T02:29:09Z
42,FPXivHoNPmpQTkmyKj3Ma6SNYfh1GftuQv,892010.00000000,2025-05-23T08:28:26Z
43,F74wLjC9BWRkxf3Kude4TD6T3WQSKZtdNw,890040.00000000,2025-05-23T08:37:05Z
44,FFLeP8XGmkBCdhX1Vtujh8nzHzikKak5ne,889060.00000000,2025-05-23T10:12:46Z
45,F6F5vEtRxfEcQZDNh7tyrHa7tDPfLbesYk,874230.00000000,2025-05-23T06:51:45Z
46,fc1qnxgfawxc88qaffpz908scm44w4rfhnuxztj2us,872937.10472997,2025-10-15T09:46:02Z
47,fc1qce66d2sser3yn9735fnqjcgtq8zdrw22uwvr64,871714.82384899,2025-10-15T09:46:02Z
48,fc1q4vglrfwhemqn2dwgl8rsdvhazfwvr5ydzhjfgq,815441.30000000,2025-10-09T02:37:55Z
49,fc1q8gwuyy4t0l0ay27k3uwrrs8v45jfgsz2xch505,800100.00000000,2025-07-13T05:09:20Z
50,F7AUPPWBJAVDdKGppmBHV6nN2A6YaYuFdp,774840.00000000,2025-05-21T14:09:58Z
51,fc1qnk6xpd4y487hr9agn85msxxas5lpgsv5j5npvv,765419.12030000,2025-10-07T18:35:21Z
52,FN9kyTnbJRRHGjmGxAbqmckzfW9jvEafpT,743411.43858803,2025-10-15T04:42:27Z
53,fc1qqg2te25965gpm3ztgq05yfk769whnza0x6hkgr,689547.00000000,2025-10-10T01:42:54Z
54,fc1qj0c5enwwnc3tdr5ua20elahkr02dxpctqk6yg6,676276.87000000,2025-10-09T03:04:52Z
55,fc1qhq8ahnpcy29ksp7fszvr47uh8laxyrzu8x7v5w,671982.99120000,2025-10-09T02:04:21Z
56,fc1q9r4swzefn886puxpqxnt6q9tk9fddq82t9c9pk,657000.00000224,2025-10-15T11:20:06Z
57,fc1qpdtq5yp0s5p39925hev3dudmq7yvr8kula9c5z,650242.10377445,2025-10-15T09:46:02Z
58,F6VdbjS5HNcwhAy78VvH27UiWTdb8u3BRC,609417.26589251,2025-10-14T20:27:23Z
59,fc1q9acnumkrft6qmvqha306puwjj0afmwlwassrpc,582394.27410000,2025-10-07T18:35:21Z
60,fc1q7qpe4w3fud9wd9x4x4t27ta7muwzw4tfxrg638,514646.59723151,2025-10-15T08:07:16Z
61,fc1qepvfmjqdpr0uxcnm72uds99mfgeu5l949x5h77,500000.00000000,2025-10-08T18:01:14Z
62,fc1q4hh274gw8c5f8zhdgwwjf7mecmvgx3nhldgzcf,498664.45297849,2025-10-13T00:23:23Z
63,fc1qdgusq2lcx0yfj77w9sf5xemtvneaysxjlgwqpg,487033.03477432,2025-10-15T08:07:16Z
64,fc1quch6645yme4n8s4lj0d3arsauun2h2jqws7pq7,482898.68146432,2025-10-15T08:07:16Z
65,fc1qwppkwjce2nuct3lp8k6f48x7u3gwdsvsrgf8c5,482527.74292884,2025-10-13T00:29:52Z
66,fc1q3s0p8rcv7v9gt0pvr36jmxwhu2m2qnsrxy69e0,448273.85614800,2025-10-06T00:26:42Z
67,fc1q5325ayxw85493rht95wr5hh2t6f7e8y2h4tyyf,439872.98720000,2025-10-09T02:04:21Z
68,fc1qn8xh5arz5k4s2vrg24y7qu0f8lu87npl03j34z,438885.59343321,2025-10-13T00:29:52Z
69,fc1qcuteuw6m8z59pke2zwvx8f7wu8nxjdat4dc6vn,423100.23970000,2025-10-15T04:42:27Z
